Time,Voltage,Peak
0.0,0.9501840445197096,3
0.00390625,0.9833969972427974,0
0.0078125,0.9524112528597839,0
0.01171875,0.6644654034090521,0
0.015625,0.618315542282525,0
0.01953125,0.3032948154377111,0
0.0234375,0.08271951821886532,0
0.02734375,0.09843775756772483,0
0.03125,-0.06066368428346555,0
0.03515625,-0.25542339238149636,0
0.0390625,-0.27628883140634525,0
0.04296875,-0.3723830545937713,0
0.046875,-0.348968207280996,4
0.05078125,-0.26745030437649114,0
0.0546875,-0.17416986002951665,0
0.05859375,-0.15255840686730432,0
0.0625,-0.18782582313989046,0
0.06640625,-0.1636142699253209,0
0.0703125,-0.132819743043113,0
0.07421875,0.01146807142825984,0
0.078125,-0.15210056295193924,0
0.08203125,0.0022969303642174366,0
0.0859375,-0.13994237371613183,0
0.08984375,-0.12118997790701633,0
0.09375,-0.07488409754814629,0
0.09765625,0.06463590961102253,0
0.1015625,0.06483002879327941,0
0.10546875,-0.10703929131748044,0
0.109375,-0.0062951625440645035,0
0.11328125,0.05425337811422481,0
0.1171875,-0.008001973599261704,0
0.12109375,0.08725858199472805,0
0.125,0.10798893820124453,0
0.12890625,0.03428398711411007,0
0.1328125,-0.060326406307432134,0
0.13671875,-0.0427965793768621,0
0.140625,0.1272990924310777,0
0.14453125,0.15367765259612665,0
0.1484375,0.17453308074246857,0
0.15234375,0.09124989112135287,0
0.15625,0.05343408558951944,0
0.16015625,0.18845023214309536,0
0.1640625,0.038361593324479595,0
0.16796875,0.20267707873740728,0
0.171875,0.07080560709964201,0
0.17578125,0.2411400621347327,0
0.1796875,0.16887824367448062,0
0.18359375,0.25628199628666454,0
0.1875,0.23251830599444695,0
0.19140625,0.2590969463080539,0
0.1953125,0.2833546814368808,0
0.19921875,0.22799913420535664,0
0.203125,0.24055124494247704,0
0.20703125,0.36820057554128877,0
0.2109375,0.2963188560564274,0
0.21484375,0.32341668546576713,0
0.21875,0.31178462977311394,0
0.22265625,0.4261894012955447,0
0.2265625,0.34700865458071056,0
0.23046875,0.3279760162901855,0
0.234375,0.4221117590915935,0
0.23828125,0.3443189954717912,0
0.2421875,0.4143896072583382,0
0.24609375,0.29985268463599385,0
0.25,0.4289031304904067,5
0.25390625,0.42587455858591616,0
0.2578125,0.42084952638081,0
0.26171875,0.2986778898402108,0
0.265625,0.32002380931307306,0
0.26953125,0.4116241395999159,0
0.2734375,0.2728607608376879,0
0.27734375,0.37752578242184354,0
0.28125,0.2628011629264344,0
0.28515625,0.34904925288928595,0
0.2890625,0.2183524897459686,0
0.29296875,0.319385178900288,0
0.296875,0.3483360044574501,0
0.30078125,0.23661019021329363,0
0.3046875,0.24076044082465184,0
0.30859375,0.17989109872712683,0
0.3125,0.19307572716487018,0
0.31640625,0.2751254544193201,0
0.3203125,0.20781342802726382,0
0.32421875,0.14134667619198502,0
0.328125,0.1735627480761797,0
0.33203125,0.20111011142909935,0
0.3359375,0.11356901179219936,0
0.33984375,0.042431883795947256,0
0.34375,0.10346190887489984,0
0.34765625,0.0985480882286842,0
0.3515625,0.10182768090558542,0
0.35546875,0.13329610107245365,0
0.359375,0.0025761280257741576,0
0.36328125,0.03865781722768548,0
0.3671875,0.0725418033419522,0
0.37109375,-0.014561873359518356,0
0.375,0.07296842157330122,0
0.37890625,0.07616394284229897,0
0.3828125,0.03725771111957407,0
0.38671875,-0.06750386222183405,0
0.390625,-0.11048180439395178,0
0.39453125,-0.09494619564904594,0
0.3984375,-0.11918573403992178,0
0.40234375,-0.0660384450549101,0
0.40625,-0.0072477298130406015,0
0.41015625,-0.09080706385047756,0
0.4140625,0.010920009819535517,0
0.41796875,-0.11088456193181494,0
0.421875,-0.01710246991752795,0
0.42578125,0.021291550020457177,0
0.4296875,0.016732946438196998,0
0.43359375,-0.09717975796528112,0
0.4375,-0.01143321403928712,0
0.44140625,-0.12409633172062644,0
0.4453125,0.006846339282000936,0
0.44921875,-0.04914930979675093,0
0.453125,-0.029867846554834467,0
0.45703125,0.027290534909905392,0
0.4609375,-0.09150423482207656,0
0.46484375,0.035187156670137665,0
0.46875,-0.08275284225014319,0
0.47265625,-0.025828777889516798,0
0.4765625,-0.0782044910634678,0
0.48046875,-0.07723934828965257,0
0.484375,-0.05940755757924775,0
0.48828125,-0.03291242477032548,0
0.4921875,-0.0035287514385617946,0
0.49609375,-0.1318022545362768,0
0.5,-0.06569996151361521,0
0.50390625,-0.13522741609161798,0
0.5078125,-0.10730291767921706,0
0.51171875,-0.06264482541336513,0
0.515625,-0.045706877884681654,0
0.51953125,-0.11460140291205746,0
0.5234375,-0.12256047903261458,0
0.52734375,0.05686318770418598,0
0.53125,-0.030900054174638057,0
0.53515625,-0.06819030132864307,0
0.5390625,-0.10395172508566597,0
0.54296875,0.06984968956126278,0
0.546875,0.02954419888758513,0
0.55078125,0.059695338426523956,0
0.5546875,-0.08549729850000083,0
0.55859375,0.013299942111366071,0
0.5625,0.035925673645914036,0
0.56640625,-0.10263968471295196,0
0.5703125,-0.04860238551199734,0
0.57421875,0.00711406133108158,0
0.578125,0.0538886415402422,0
0.58203125,0.07266955302532482,0
0.5859375,-0.025610617617341513,0
0.58984375,0.004104109865918738,0
0.59375,-0.0670446109802858,0
0.59765625,0.04432676483035119,0
0.6015625,0.03774099549496887,0
0.60546875,0.06786053259389878,0
