source_file,window_id,window_start,window_end,label,mean_rr_ms,median_rr_ms,sdnn_ms,rmssd_ms,pnn50,heart_rate_bpm,n_peaks,duration_sec,peak_rate_per_sec,rr_valid_ratio,voltage_mean,voltage_std,voltage_min,voltage_max,voltage_skew,voltage_kurtosis,lf_power,hf_power,lf_hf_ratio,total_power
balanced_interleaved.csv,0,0.0,256.0,3,709.6462673611111,710.9375,59.018979823368994,39.87608094839249,20.61281337047354,84.54916591489427,361,255.99609375,1.4101777676050966,1.0,0.18750118728913917,0.21194033437796697,-0.23475890913166733,1.0452011157508898,1.2925104682756423,2.8833164478761235,4872.456707169845,1490.4520332348777,3.2691133954808747,6363.045276634068
balanced_interleaved.csv,1,256.0,512.0,3,608.9006696428571,609.375,54.027865490824006,47.564477321933346,7.159904534606206,98.53823947211657,421,255.99609375,1.6445563439383535,1.0,0.1789629091718937,0.22226446010282896,-0.25034012158630037,1.0705872255897675,1.318235930658281,2.901200515496172,3486.577039368095,1276.46880018817,2.7314236265344856,4771.803205977082
balanced_interleaved.csv,2,512.0,768.0,3,645.371835443038,636.71875,69.04097536693352,54.661645787566854,14.213197969543149,92.96965982224947,396,255.99609375,1.5468986037994965,1.0,0.18441619250398392,0.21732644636648474,-0.23953623344916908,1.0621291346792536,1.3185178209331854,2.9344030827235184,5052.202559527053,1664.7641519885074,3.0347857704001853,6749.944015465931
balanced_interleaved.csv,3,768.0,1024.0,3,656.6115038560412,652.34375,61.77427183913593,40.988289399685506,23.45360824742268,91.37823453844742,391,255.99609375,1.527367055771725,0.9974358974358974,0.2018527210505882,0.2161738112138567,-0.23743262442132393,1.0623649242670936,1.2432917092456341,2.7322559458131632,4225.87623160914,2100.432962726367,2.011907214655374,6329.409995171844
balanced_interleaved.csv,4,1024.0,1280.0,0,662.4594155844156,660.15625,71.81197967915115,63.713999038693245,30.46875,90.5715861054953,386,255.99609375,1.5078355077439536,1.0,0.20778129734076564,0.21543198867761687,-0.2348346764995718,1.0560240584624405,1.1933228771627795,2.575980296863645,4555.318435614423,3578.2258777976745,1.2730662040871856,8156.188803304026
balanced_interleaved.csv,5,1280.0,1536.0,2,640.282346491228,640.625,61.96214972671161,53.94104538928799,18.341708542713565,93.70865888900782,401,255.99609375,1.5664301518272679,0.9975,0.19460734443002856,0.21713264478610536,-0.2349743856743711,1.059666381808185,1.2647739230151456,2.751217877287864,4216.876085003031,2123.833789997765,1.9855019280993118,6358.220838730911
balanced_interleaved.csv,6,1536.0,1792.0,2,620.4189476885645,621.09375,48.438704281438355,30.52647069371895,11.951219512195122,96.70884524648427,412,255.99609375,1.609399557488365,1.0,0.1987920251253516,0.21720674159025585,-0.23452614182537648,1.0613246312530216,1.265096703114074,2.7544823818896287,3036.511367275952,1276.7823489093284,2.378252933923973,4314.1491899243365
balanced_interleaved.csv,7,1792.0,2048.0,1,699.3792808219179,695.3125,63.92918114639296,56.03756316402681,25.549450549450547,85.7903596021423,366,255.99609375,1.429709315632868,1.0,0.21824605610028647,0.21080189400839705,-0.2050038713065945,1.0618387835857976,1.2487716740313253,2.74174242084508,4176.574491281852,2565.4223751111886,1.6280260637786141,6743.828720424593
balanced_interleaved.csv,8,2048.0,2304.0,1,676.5562996031746,667.96875,81.09314205062344,60.29324135303727,25.198938992042443,88.68441552490492,379,255.99609375,1.4804913405050737,1.0,0.21804258687577394,0.20966739964072273,-0.2058629274742165,1.0609547825315233,1.2699658508186227,2.8347416859027934,5570.674181750272,2614.3870797008854,2.1307763586360817,8192.72812318703
balanced_interleaved.csv,9,2304.0,2560.0,0,712.825157122905,710.9375,82.7648270347813,56.03587632498111,34.45378151260504,84.17211345650477,359,255.99609375,1.4023651483939878,1.0,0.22111919140437397,0.20851174059395014,-0.2087286438356918,1.0569112908330727,1.2164004757429419,2.6808388004337003,6189.160562084924,3432.631946451066,1.8030364625848632,9637.211264594716
