Time,Voltage
0.0,1.1275268542263241
0.004,0.9778863845457582
0.008,0.8505927832050697
0.012,0.6244772505726357
0.016,0.28473386803659834
0.02,0.12062265824158613
0.024,-0.08100488689837657
0.028,-0.19607292298136214
0.032,-0.21435922858061737
0.036,-0.11943559854654909
0.04,-0.1553271582872838
0.044,-0.145201673445432
0.048,0.03390579310860212
0.052,-0.020161999723466863
0.056,0.004783571485095516
0.06,0.034053959029936694
0.064,0.06754450994979144
0.068,0.09088669609521646
0.072,0.08315730460410775
0.076,0.10513691387187317
0.08,0.10237396642140262
0.084,0.07870017462439802
0.088,0.10958292229219294
0.092,0.1256044595669603
0.096,0.15526753290091228
0.1,0.15485014501554373
0.104,0.20734148578141826
0.108,0.2719449694679372
0.112,0.2574469177370103
0.116,0.20824526969584012
0.12,0.2517399860777892
0.124,0.2872585717390285
0.128,0.32236318867658575
0.132,0.3297095871604752
0.136,0.3983593232751975
0.14,0.3618727712109423
0.144,0.43111194748308646
0.148,0.425203148876519
0.152,0.43822380393959004
0.156,0.41002904184407285
0.16,0.48375544843608126
0.164,0.49072376818292734
0.168,0.5011770223513556
0.172,0.4653011848448018
0.176,0.4023474734165078
0.18,0.39157175459360505
0.184,0.4404743168141645
0.188,0.44742565784568816
0.192,0.362084385803651
0.196,0.40021614617985046
0.2,0.4194973622130457
0.204,0.40313726766618163
0.208,0.4010103773127696
0.212,0.4076447735446238
0.216,0.3314201667620864
0.22,0.2666256504538243
0.224,0.243359517775693
0.228,0.3012487281611301
0.232,0.3161723657186838
0.236,0.15868448118900674
0.24,0.23762643976296793
0.244,0.12066561802248965
0.248,0.1377341933910847
0.252,0.09797414599829543
0.256,0.16416961977817718
0.26,0.08557110538783726
0.264,0.10926967483928121
0.268,0.02869507983500709
0.272,0.027265215253073117
0.276,0.1025263476173755
0.28,0.03139220719113992
0.284,0.10704717557912234
0.288,0.01696966236801306
0.292,0.09277582616982345
0.296,0.01440231444229144
0.3,0.06309647531894126
0.304,-0.007813116478312773
0.308,0.023416307134186416
0.312,0.0783606590094036
0.316,0.00245792649544434
0.32,-0.0028335974296938597
0.324,-0.010518416911534713
0.328,0.007045330722979574
